First Name,Last Name,Party,Constituency,Gender,Sitting TD,Valid Poll,Quota,Elected on count,Final vote,1st pref,% 1st pref,Count 2,% transfers 2,Count 3,% transfers 3,Count 4,% transfers 4,Count 5,% transfers 5,Count 6,% transfers 6,Count 7,% transfers 7,Count 8,% transfers 8,Count 9,% transfers 9,Count 10,% transfers 10,Count 11,% transfers 11,Count 12,% transfers 12,Count 13,% transfers 13,Count 14,% transfers 14,Count 15,% transfers 15
James,LAWLESS,Fianna Fáil,Kildare North,Male,Yes,"50,945","10,190",6,"9,357","7,029",13.80,117,5.40,211,7.40,60,7.30,492,12.60,"1,448",21.70,,,,,,,,,,,,,,,,,,
Anthony,LAWLOR,Fine Gael,Kildare North,Male,No,"50,945","10,190",,,"3,621",7.10,72,3.40,178,6.20,49,6.00,"-3,920",0.00,,0.00,,,,,,,,,,,,,,,,,,
Paul,MAHON,Solidarity-People Before Profit,Kildare North,Male,No,"50,945","10,190",,,861,1.70,-861,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,,,,
Vincent P.,MARTIN,Green Party,Kildare North,Male,No,"50,945","10,190",,,"5,100",10.00,373,17.40,428,15.00,310,37.90,463,11.80,"-6,674",0.00,,,,,,,,,,,,,,,,,,
David,MONAGHAN,Independent,Kildare North,Male,No,"50,945","10,190",,,197,0.40,-197,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,,,,
Catherine,MURPHY,Social Democrats,Kildare North,Female,Yes,"50,945","10,190",3,"11,008","9,808",19.30,372,17.30,828,29.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,,,,
Séamus,Ó RIAIN,Renua,Kildare North,Male,No,"50,945","10,190",,,967,1.90,-967,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,,,,
Frank,O'ROURKE,Fianna Fáil,Kildare North,Male,Yes,"50,945","10,190",,"7,956","6,336",12.40,260,12.10,349,12.20,90,11.00,203,5.20,718,10.80,,,,,,,,,,,,,,,,,,
Emmet,STAGG,Labour Party,Kildare North,Male,No,"50,945","10,190",,,"2,751",5.40,102,4.70,"-2,853",0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,,,,
Wayne,SWORDS,Independent,Kildare North,Male,No,"50,945","10,190",,,123,0.20,-123,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,,,,
Cathal,BERRY,Independent,Kildare South,Male,No,"47,260","11,816",8,"10,940","5,742",12.10,219,16.90,215,14.60,325,15.20,375,9.90,"1,394",31.20,"2,423",32.40,247,73.50,,,,,,,,,,,,,,
Suzanne,DOYLE,Fianna Fáil,Kildare South,Female,No,"47,260","11,816",,,"3,580",7.60,85,6.60,38,2.60,79,3.70,"-3,782",0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,
Linda,HAYDEN,Social Democrats,Kildare South,Female,No,"47,260","11,816",,,"1,338",2.80,136,10.50,"-1,474",0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,
Martin,HEYDON,Fine Gael,Kildare South,Male,Yes,"47,260","11,816",8,"11,710","8,069",17.10,51,3.90,98,6.60,349,16.30,443,11.70,641,14.30,"2,025",27.10,34,10.10,,,,,,,,,,,,,,
Ronan,MAHER,Green Party,Kildare South,Male,No,"47,260","11,816",,,"1,639",3.50,115,8.90,390,26.50,"-2,144",0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,
Fiona,McLOUGHLIN HEALY,Independent,Kildare South,Female,No,"47,260","11,816",,,"3,616",7.70,114,8.80,208,14.10,283,13.20,250,6.60,"-4,471",0.00,,0.00,,0.00,,,,,,,,,,,,,,
Anita,MHIC GIB,Aontú,Kildare South,Female,No,"47,260","11,816",,,697,1.50,-697,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,
Fiona,O'LOUGHLIN,Fianna Fáil,Kildare South,Female,Yes,"47,260","11,816",,"10,425","5,927",12.50,58,4.50,58,3.90,133,6.20,"2,001",52.90,759,17.00,"1,434",19.20,55,16.40,,,,,,,,,,,,,,
Patricia,RYAN,Sinn Féin,Kildare South,Female,No,"47,260","11,816",6,"12,152","10,155",21.50,306,23.60,258,17.50,353,16.50,223,5.90,857,19.20,,0.00,,0.00,,,,,,,,,,,,,,
Róisín,UÍ BHROIN,Solidarity-People Before Profit,Kildare South,Female,No,"47,260","11,816",,,598,1.30,-598,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,
Mark,WALL,Labour Party,Kildare South,Male,No,"47,260","11,816",,,"5,899",12.50,75,5.80,168,11.40,506,23.60,336,8.90,500,11.20,"-7,484",0.00,,0.00,,,,,,,,,,,,,,
Seán,Ó FEARGHAÍL,Fianna Fáil,Kildare South,Male,Yes,"47,260","11,816",,,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,
Marcella,CORCORAN KENNEDY,Fine Gael,Laois-Offaly,Female,Yes,"69,422","11,571",,,"4,519",6.50,66,1.30,9,1.00,49,2.60,23,1.00,117,3.70,134,3.40,240,5.40,38,6.40,"-5,195",0.00,,0.00,,,,,,,,
Barry,COWEN,Fianna Fáil,Laois-Offaly,Male,Yes,"69,422","11,571",8,"12,162","8,677",12.50,212,4.20,30,3.30,211,11.30,36,1.60,76,2.40,456,11.60,"2,464",55.40,,0.00,,0.00,,0.00,,,,,,,,
John,DALY,National Party,Laois-Offaly,Male,No,"69,422","11,571",,,441,0.60,116,2.30,-557,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,
Charlie,FLANAGAN,Fine Gael,Laois-Offaly,Male,Yes,"69,422","11,571",10,"11,757","7,463",10.80,178,3.50,34,3.70,116,6.20,30,1.30,382,12.00,84,2.10,109,2.40,22,3.70,"3,339",64.30,,0.00,,,,,,,,
Pauline,FLANAGAN,Fianna Fáil,Laois-Offaly,Female,No,"69,422","11,571",,,"1,744",2.50,106,2.10,24,2.60,"-1,874",0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,
Seán,FLEMING,Fianna Fáil,Laois-Offaly,Male,Yes,"69,422","11,571",11,"11,364","7,636",11.00,480,9.40,74,8.10,916,48.90,56,2.50,574,18.00,99,2.50,492,11.10,349,59.10,192,3.70,496,8.70,,,,,,,,
Pippa,HACKETT,Green Party,Laois-Offaly,Female,No,"69,422","11,571",,"7,109","3,494",5.00,427,8.40,70,7.70,90,4.80,484,21.30,678,21.30,568,14.40,130,2.90,23,3.90,504,9.70,641,11.30,,,,,,,,
John,LEAHY,Independent,Laois-Offaly,Male,No,"69,422","11,571",,,"3,463",5.00,262,5.20,137,15.00,14,0.70,187,8.20,129,4.00,629,16.00,351,7.90,80,13.50,417,8.00,"-5,669",0.00,,,,,,,,
Carol,NOLAN,Independent,Laois-Offaly,Female,Yes,"69,422","11,571",11,"12,521","5,436",7.80,746,14.70,180,19.70,72,3.80,372,16.40,303,9.50,"1,244",31.60,495,11.10,79,13.40,437,8.40,"3,157",55.70,,,,,,,,
Peter,ORMOND,Fianna Fáil,Laois-Offaly,Male,No,"69,422","11,571",,,"4,073",5.90,59,1.20,5,0.50,183,9.80,14,0.60,26,0.80,89,2.30,"-4,449",0.00,,0.00,,0.00,,0.00,,,,,,,,
Noel,O'ROURKE,Renua,Laois-Offaly,Male,No,"69,422","11,571",,,290,0.40,66,1.30,-356,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,
Ken,SMOLLEN,Irish Democratic Party,Laois-Offaly,Male,No,"69,422","11,571",,,"2,611",3.80,562,11.10,88,9.60,13,0.70,366,16.10,301,9.40,"-3,941",0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,
Brian,STANLEY,Sinn Féin,Laois-Offaly,Male,Yes,"69,422","11,571",1,"16,654","16,654",24.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,
Noel,TUOHY,Labour Party,Laois-Offaly,Male,No,"69,422","11,571",,,"2,011",2.90,585,11.50,68,7.40,142,7.60,384,16.90,"-3,190",0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,
Stephen,TYNAN,Solidarity-People Before Profit,Laois-Offaly,Male,No,"69,422","11,571",,,910,1.30,"1,218",24.00,115,12.60,30,1.60,"-2,273",0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,
Rebecca,BARRETT,National Party,Limerick City,Female,No,"46,129","9,226",,,345,0.70,35,2.00,-380,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,
Jenny,BLAKE,Social Democrats,Limerick City,Female,No,"46,129","9,226",,,"1,799",3.90,188,10.60,480,34.60,183,9.80,"-2,650",0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,
Maria,BYRNE,Fine Gael,Limerick City,Female,No,"46,129","9,226",,,"2,998",6.50,23,1.30,21,1.50,93,5.00,118,4.50,13,5.60,405,12.90,"-3,671",0.00,,0.00,,,,,,,,,,,,
Mary,CAHILLANE,Solidarity-People Before Profit,Limerick City,Female,No,"46,129","9,226",,,701,1.50,307,17.20,"-1,008",0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,
James,COLLINS,Fianna Fáil,Limerick City,Male,No,"46,129","9,226",,,"2,759",6.00,29,1.60,20,1.40,227,12.20,72,2.70,43,18.40,"-3,150",0.00,,0.00,,0.00,,,,,,,,,,,,
Frankie,DALY,Independent,Limerick City,Male,No,"46,129","9,226",,"6,720","3,200",6.90,525,29.50,297,21.40,391,21.00,527,19.90,77,32.90,387,12.30,281,7.70,"1,035",22.20,,,,,,,,,,,,
Brian,LEDDIN,Green Party,Limerick City,Male,No,"46,129","9,226",9,"8,207","3,252",7.00,133,7.50,153,11.00,232,12.50,"1,040",39.20,23,9.80,567,18.00,456,12.40,"2,351",50.40,,,,,,,,,,,,
Willie,O'DEA,Fianna Fáil,Limerick City,Male,Yes,"46,129","9,226",2,"9,460","9,198",19.90,262,14.70,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,
Kieran,O'DONNELL,Fine Gael,Limerick City,Male,No,"46,129","9,226",8,"9,754","6,589",14.30,39,2.20,33,2.40,206,11.10,84,3.20,15,6.40,683,21.70,"2,105",57.30,,0.00,,,,,,,,,,,,
Jan,O'SULLIVAN,Labour Party,Limerick City,Female,Yes,"46,129","9,226",,,"2,729",5.90,109,6.10,78,5.60,160,8.60,525,19.80,25,10.70,501,15.90,540,14.70,"-4,667",0.00,,,,,,,,,,,,
Maurice,QUINLIVAN,Sinn Féin,Limerick City,Male,Yes,"46,129","9,226",1,"11,006","11,006",23.90,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,
Michael,RYAN,Aontú,Limerick City,Male,No,"46,129","9,226",,,"1,553",3.40,130,7.30,177,12.80,"-1,860",0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,
Michael,COLLINS,Fianna Fáil,Limerick County,Male,No,"46,090","11,523",,,"5,150",11.20,170,8.40,212,7.90,"-5,532",0.00,,0.00,,0.00,,,,,,,,,,,,,,,,,,
Niall,COLLINS,Fianna Fáil,Limerick County,Male,Yes,"46,090","11,523",4,"11,870","8,436",18.30,195,9.60,254,9.40,"2,985",54.00,,0.00,,0.00,,,,,,,,,,,,,,,,,,
Con,CREMIN,Independent,Limerick County,Male,No,"46,090","11,523",,,373,0.80,-373,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,,,,
John,DALTON,Renua,Limerick County,Male,No,"46,090","11,523",,,313,0.70,-313,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,,,,
Claire,KEATING,Green Party,Limerick County,Female,No,"46,090","11,523",,,"2,503",5.40,185,9.10,"-2,688",0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,,,,
Tom,NEVILLE,Fine Gael,Limerick County,Male,Yes,"46,090","11,523",,,"5,810",12.60,160,7.90,388,14.40,407,7.40,"-6,765",0.00,,0.00,,,,,,,,,,,,,,,,,,
Cristín,Ní MHAOLDHOMHNAIGH,National Party,Limerick County,Female,No,"46,090","11,523",,,224,0.50,-224,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,,,,
Séighin,Ó CEALLAIGH,Sinn Féin,Limerick County,Male,No,"46,090","11,523",,"8,955","6,916",15.00,288,14.20,610,22.70,311,5.60,454,6.70,376,9.30,,,,,,,,,,,,,,,,,,
Robert,O'DONNELL,Independent,Limerick County,Male,No,"46,090","11,523",,,402,0.90,-402,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,,,,
Conor,O'DONOGHUE,Aontú,Limerick County,Male,No,"46,090","11,523",,,714,1.50,-714,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,,,,
Richard,O'DONOGHUE,Independent,Limerick County,Male,No,"46,090","11,523",6,"10,320","6,021",13.10,578,28.50,451,16.80,597,10.80,940,13.90,"1,733",43.00,,,,,,,,,,,,,,,,,,
Patrick,O'DONOVAN,Fine Gael,Limerick County,Male,Yes,"46,090","11,523",5,"15,552","9,228",20.00,230,11.40,494,18.40,941,17.00,"4,659",68.90,,0.00,,,,,,,,,,,,,,,,,,
Peter,BURKE,Fine Gael,Longford-Westmeath,Male,Yes,"56,383","11,277",10,"11,034","6,617",11.70,18,3.20,10,3.50,3,0.90,14,3.40,15,2.10,54,4.80,575,39.70,"1,019",20.30,"2,709",38.80,,,,,,,,,,
Micheál,CARRIGY,Fine Gael,Longford-Westmeath,Male,No,"56,383","11,277",,,"6,334",11.20,16,2.80,48,16.60,1,0.30,22,5.40,30,4.10,83,7.30,173,11.90,274,5.40,"-6,981",0.00,,,,,,,,,,
Sorca,CLARKE,Sinn Féin,Longford-Westmeath,Female,No,"56,383","11,277",1,"11,848","11,848",21.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,
Joe,FLAHERTY,Fianna Fáil,Longford-Westmeath,Male,No,"56,383","11,277",10,"11,064","7,666",13.60,37,6.50,52,18.00,6,1.90,27,6.60,37,5.10,151,13.40,23,1.60,237,4.70,"2,828",40.50,,,,,,,,,,
Louise,HEAVIN,Green Party,Longford-Westmeath,Female,No,"56,383","11,277",,,"2,325",4.10,72,12.60,13,4.50,31,9.60,47,11.50,233,32.10,59,5.20,130,9.00,"-2,910",0.00,,0.00,,,,,,,,,,
Donal,JACKSON,Independent,Longford-Westmeath,Male,No,"56,383","11,277",,,71,0.10,12,2.10,-83,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,
Anna,KAVANAGH,Independent,Longford-Westmeath,Female,No,"56,383","11,277",,,334,0.60,29,5.10,34,11.80,11,3.40,-408,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,
Frank,KILBRIDE,Independent,Longford-Westmeath,Male,No,"56,383","11,277",,,197,0.30,9,1.60,-206,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,
Alan,MANGAN,Labour Party,Longford-Westmeath,Male,No,"56,383","11,277",,,"1,904",3.40,45,7.90,8,2.80,7,2.20,26,6.40,46,6.30,43,3.80,40,2.80,"-2,119",0.00,,0.00,,,,,,,,,,
Gabrielle,McFADDEN,Fine Gael,Longford-Westmeath,Female,No,"56,383","11,277",,,"1,411",2.50,5,0.90,6,2.10,3,0.90,7,1.70,7,1.00,11,1.00,"-1,450",0.00,,0.00,,0.00,,,,,,,,,,
Kevin Boxer,MORAN,Independent,Longford-Westmeath,Male,Yes,"56,383","11,277",,"10,003","6,730",11.90,97,17.00,39,13.50,30,9.30,82,20.10,119,16.40,266,23.50,383,26.40,"1,483",29.50,774,11.10,,,,,,,,,,
Dom,PARKER,Solidarity-People Before Profit,Longford-Westmeath,Male,No,"56,383","11,277",,,221,0.40,93,16.30,8,2.80,-322,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,
James,REYNOLDS,National Party,Longford-Westmeath,Male,No,"56,383","11,277",,,983,1.70,18,3.20,19,6.60,10,3.10,51,12.50,49,6.80,"-1,130",0.00,,0.00,,0.00,,0.00,,,,,,,,,,
Barbara,SMYTH,Solidarity-People Before Profit,Longford-Westmeath,Female,No,"56,383","11,277",,,411,0.70,67,11.70,5,1.70,192,59.60,50,12.30,-725,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,
Robert,TROY,Fianna Fáil,Longford-Westmeath,Male,Yes,"56,383","11,277",10,"10,793","9,331",16.50,53,9.30,15,5.20,11,3.40,35,8.60,31,4.30,102,9.00,83,5.70,959,19.10,173,2.50,,,,,,,,,,
Topanga,BIRD,Independent,Louth,Female,No,"70,667","11,778",,,243,0.30,231,4.30,26,3.60,38,13.90,-538,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,
David,BRADLEY,Independent,Louth,Male,No,"70,667","11,778",,,256,0.40,154,2.80,7,1.00,48,17.60,-465,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,
Declan,BREATHNACH,Fianna Fáil,Louth,Male,Yes,"70,667","11,778",,"9,625","5,781",8.20,138,2.50,39,5.50,17,6.20,48,4.80,101,4.40,54,1.80,"2,225",51.10,368,7.80,854,10.10,,,,,,,,,,
Albert,BYRNE,Independent,Louth,Male,No,"70,667","11,778",,,145,0.20,117,2.20,11,1.50,-273,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,
James,BYRNE,Fianna Fáil,Louth,Male,No,"70,667","11,778",,,"3,911",5.50,268,4.90,8,1.10,11,4.00,34,3.40,93,4.00,30,1.00,"-4,355",0.00,,0.00,,0.00,,,,,,,,,,
Mark,DEAREY,Green Party,Louth,Male,No,"70,667","11,778",,,"5,418",7.70,695,12.80,150,21.00,27,9.90,146,14.60,244,10.60,995,32.90,242,5.60,580,12.20,"-8,497",0.00,,,,,,,,,,
Audrey,FERGUS,Solidarity-People Before Profit,Louth,Female,No,"70,667","11,778",,,"1,120",1.60,"1,197",22.10,161,22.60,23,8.40,174,17.30,353,15.30,"-3,028",0.00,,0.00,,0.00,,0.00,,,,,,,,,,
Peter,FITZPATRICK,Independent,Louth,Male,Yes,"70,667","11,778",10,"10,779","6,085",8.60,430,7.90,188,26.40,31,11.40,222,22.10,615,26.70,630,20.80,178,4.10,609,12.90,"1,791",21.10,,,,,,,,,,
John,McGAHON,Fine Gael,Louth,Male,No,"70,667","11,778",,,"4,442",6.30,74,1.40,28,3.90,5,1.80,11,1.10,46,2.00,36,1.20,96,2.20,"-4,738",0.00,,0.00,,,,,,,,,,
Imelda,MUNSTER,Sinn Féin,Louth,Female,Yes,"70,667","11,778",1,"17,203","17,203",24.30,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,
Ged,NASH,Labour Party,Louth,Male,No,"70,667","11,778",10,"11,659","5,824",8.20,"1,065",19.60,29,4.10,8,2.90,47,4.70,217,9.40,355,11.70,844,19.40,249,5.30,"3,021",35.60,,,,,,,,,,
Fergus,O'DOWD,Fine Gael,Louth,Male,Yes,"70,667","11,778",10,"11,282","6,380",9.00,357,6.60,9,1.30,6,2.20,23,2.30,161,7.00,44,1.50,505,11.60,"2,674",56.40,"1,123",13.20,,,,,,,,,,
Cathal,Ó MURCHÚ,Irish Freedom Party,Louth,Male,No,"70,667","11,778",,,574,0.80,426,7.90,41,5.80,12,4.40,85,8.50,"-1,138",0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,
Ruairí,Ó MURCHÚ,Sinn Féin,Louth,Male,No,"70,667","11,778",1,"12,491","12,491",17.70,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,
Eamon,SWEENEY,Renua,Louth,Male,No,"70,667","11,778",,,794,1.10,273,5.00,16,2.20,9,3.30,71,7.10,"-1,163",0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,
Dara,CALLEARY,Fianna Fáil,Mayo,Male,Yes,"64,353","12,871",7,"13,636","9,163",14.20,214,11.10,294,16.70,203,7.80,555,16.40,701,11.60,"2,506",33.70,,,,,,,,,,,,,,,,
Lisa,CHAMBERS,Fianna Fáil,Mayo,Female,Yes,"64,353","12,871",,"8,911","6,373",9.90,274,14.20,208,11.80,207,7.90,313,9.30,988,16.40,548,7.40,,,,,,,,,,,,,,,,
Rose,CONWAY-WALSH,Sinn Féin,Mayo,Female,No,"64,353","12,871",1,"14,633","14,633",22.70,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,,
Joe,DALY,Solidarity-People Before Profit,Mayo,Male,No,"64,353","12,871",,,721,1.10,30,1.60,321,18.20,"-1,072",0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,,
Gráinne,De BARRA,Independent,Mayo,Female,No,"64,353","12,871",,,84,0.10,5,0.30,30,1.70,-119,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,,
Alan,DILLON,Fine Gael,Mayo,Male,No,"64,353","12,871",7,"10,977","5,198",8.10,625,32.50,121,6.90,171,6.50,438,13.00,"1,095",18.10,"3,329",44.80,,,,,,,,,,,,,,,,
Sean,FORKIN,Independent,Mayo,Male,No,"64,353","12,871",,,59,0.10,4,0.20,19,1.10,-82,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,,
Paul,LAWLESS,Aontú,Mayo,Male,No,"64,353","12,871",,,"2,574",4.00,88,4.60,192,10.90,521,19.90,"-3,375",0.00,,0.00,,0.00,,,,,,,,,,,,,,,,
Gerry,LOFTUS,Independent,Mayo,Male,No,"64,353","12,871",,,574,0.90,21,1.10,75,4.30,-670,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,,
Stephen,MANNING,Independent,Mayo,Male,No,"64,353","12,871",,,65,0.10,3,0.20,14,0.80,-82,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,,
Saoirse,McHUGH,Green Party,Mayo,Female,No,"64,353","12,871",,,"4,177",6.50,144,7.50,309,17.50,755,28.90,651,19.30,"-6,036",0.00,,0.00,,,,,,,,,,,,,,,,
Michelle,MULHERIN,Fine Gael,Mayo,Female,No,"64,353","12,871",,,"5,435",8.40,494,25.70,116,6.60,240,9.20,311,9.20,831,13.80,"-7,427",0.00,,,,,,,,,,,,,,,,
Daithí,Ó FALLAMHÁIN,Irish Freedom Party,Mayo,Male,No,"64,353","12,871",,,246,0.40,6,0.30,27,1.50,-279,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,,
Michael,RING,Fine Gael,Mayo,Male,Yes,"64,353","12,871",1,"14,796","14,796",23.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,,
Kamal,UDDIN,Labour Party,Mayo,Male,No,"64,353","12,871",,,255,0.40,17,0.90,36,2.00,-308,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,,
Joe,BONNER,Independent,Meath East,Male,No,"41,945","10,487",,,"2,934",7.00,119,7.50,187,11.00,98,4.80,699,23.10,"-4,037",0.00,,0.00,,,,,,,,,,,,,,,,
Thomas,BYRNE,Fianna Fáil,Meath East,Male,Yes,"41,945","10,487",7,"9,622","6,039",14.40,56,3.60,253,14.80,"1,289",63.00,585,19.30,777,19.20,623,12.20,,,,,,,,,,,,,,,,
Regina,DOHERTY,Fine Gael,Meath East,Female,Yes,"41,945","10,487",,,"4,180",10.00,92,5.80,58,3.40,175,8.50,138,4.60,479,11.90,"-5,122",0.00,,,,,,,,,,,,,,,,
Deirdre,GERAGHTY-SMITH,Fianna Fáil,Meath East,Female,No,"41,945","10,487",,,"1,941",4.60,36,2.30,70,4.10,"-2,047",0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,,
Annie,HOEY,Labour Party,Meath East,Female,No,"41,945","10,487",,,874,2.10,-874,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,,
Andrew,KEEGAN,Solidarity-People Before Profit,Meath East,Male,No,"41,945","10,487",,,569,1.40,-569,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,,,,,,,,,,,,
